,Fecha,Indicador,Territorio,Valor
297,2020-04-13T00:00:00,Casos recuperados,Paysandú,0
298,2020-04-13T00:00:00,Casos recuperados,Río Negro,0
299,2020-04-13T00:00:00,Casos recuperados,Rivera,0
300,2020-04-13T00:00:00,Casos recuperados,Rocha,1
301,2020-04-13T00:00:00,Casos recuperados,Salto,5
302,2020-04-13T00:00:00,Casos recuperados,San José,0
303,2020-04-13T00:00:00,Casos recuperados,Soriano,1
304,2020-04-13T00:00:00,Casos recuperados,Tacuarembó,0
305,2020-04-13T00:00:00,Casos recuperados,Treinta y Tres,0
306,2020-04-13T00:00:00,Fallecidos,Artigas,0
307,2020-04-13T00:00:00,Fallecidos,Canelones,0
308,2020-04-13T00:00:00,Fallecidos,Cerro Largo,0
309,2020-04-13T00:00:00,Fallecidos,Colonia,0
310,2020-04-13T00:00:00,Fallecidos,Durazno,0
311,2020-04-13T00:00:00,Fallecidos,Flores,0
312,2020-04-13T00:00:00,Fallecidos,Florida,0
313,2020-04-13T00:00:00,Fallecidos,Lavalleja,0
314,2020-04-13T00:00:00,Fallecidos,Maldonado,1
315,2020-04-13T00:00:00,Fallecidos,Montevideo,7
316,2020-04-13T00:00:00,Fallecidos,Paysandú,0
317,2020-04-13T00:00:00,Fallecidos,Río Negro,0
318,2020-04-13T00:00:00,Fallecidos,Rivera,0
319,2020-04-13T00:00:00,Fallecidos,Rocha,0
320,2020-04-13T00:00:00,Fallecidos,Salto,0
321,2020-04-13T00:00:00,Fallecidos,San José,0
322,2020-04-13T00:00:00,Fallecidos,Soriano,0
323,2020-04-13T00:00:00,Fallecidos,Tacuarembó,0
324,2020-04-13T00:00:00,Fallecidos,Treinta y Tres,0
325,2020-04-13T00:00:00,Personal de la salud  Confirmados ,Todo el país,79
326,2020-04-13T00:00:00,Personal de la salud  Recuperados ,Todo el país,0
327,2020-04-13T00:00:00,Personal de la salud  Activos ,Todo el país,0
328,2020-04-13T00:00:00,Personal de la salud  Fallecidos ,Todo el país,0
329,2020-04-13T00:00:00,Cantidad de Tests  Positivos ,Todo el país,9
330,2020-04-13T00:00:00,Cantidad de Tests  Negativos ,Todo el país,453
331,2020-04-13T00:00:00,Personas en CTI,Todo el país,15
332,2020-04-13T00:00:00,Personas en CI,Todo el país,0
333,2020-04-13T00:00:00,Fallecidos ,Todo el país,8
334,2020-04-13T00:00:00,Casos nuevos ,Todo el país,0
335,2020-04-14T00:00:00,Casos activos,Artigas,0
336,2020-04-14T00:00:00,Casos activos,Canelones,29
337,2020-04-14T00:00:00,Casos activos,Cerro Largo,0
338,2020-04-14T00:00:00,Casos activos,Colonia,5
339,2020-04-14T00:00:00,Casos activos,Durazno,0
340,2020-04-14T00:00:00,Casos activos,Flores,0
341,2020-04-14T00:00:00,Casos activos,Florida,0
342,2020-04-14T00:00:00,Casos activos,Lavalleja,4
343,2020-04-14T00:00:00,Casos activos,Maldonado,13
344,2020-04-14T00:00:00,Casos activos,Montevideo,154
345,2020-04-14T00:00:00,Casos activos,Paysandú,1
346,2020-04-14T00:00:00,Casos activos,Río Negro,8
347,2020-04-14T00:00:00,Casos activos,Rivera,1
348,2020-04-14T00:00:00,Casos activos,Rocha,0
349,2020-04-14T00:00:00,Casos activos,Salto,7
350,2020-04-14T00:00:00,Casos activos,San José,2
351,2020-04-14T00:00:00,Casos activos,Soriano,0
352,2020-04-14T00:00:00,Casos activos,Tacuarembó,0
353,2020-04-14T00:00:00,Casos activos,Treinta y Tres,0
354,2020-04-14T00:00:00,Casos recuperados,Artigas,0
355,2020-04-14T00:00:00,Casos recuperados,Canelones,47
356,2020-04-14T00:00:00,Casos recuperados,Cerro Largo,0
357,2020-04-14T00:00:00,Casos recuperados,Colonia,3
358,2020-04-14T00:00:00,Casos recuperados,Durazno,0
359,2020-04-14T00:00:00,Casos recuperados,Flores,1
360,2020-04-14T00:00:00,Casos recuperados,Florida,0
361,2020-04-14T00:00:00,Casos recuperados,Lavalleja,0
362,2020-04-14T00:00:00,Casos recuperados,Maldonado,5
363,2020-04-14T00:00:00,Casos recuperados,Montevideo,197
364,2020-04-14T00:00:00,Casos recuperados,Paysandú,0
365,2020-04-14T00:00:00,Casos recuperados,Río Negro,0
366,2020-04-14T00:00:00,Casos recuperados,Rivera,0
367,2020-04-14T00:00:00,Casos recuperados,Rocha,1
